Example,Bound,Max_hitting_prob
A,6,0.21017235465898296
C,6,0.20052895661521358
B,6,0.12369443415054644
D,6,0.16743819500563262
A,7,0.19603792837191358
C,7,0.1938142549914676
D,7,0.1566140358133923
C,8,0.18343615498203375
A,8,0.18158889769529374
B,7,0.1095876129354054
D,8,0.14460951209629333
B,8,0.09770191057989079
A,9,0.16779122478851585
C,9,0.17192518940812157
C,10,0.1604091837645243
B,9,0.0877004833297903
D,9,0.13276018785396715
A,10,0.15496257866916577
D,10,0.1215251719146732
C,11,0.07628221191710892
A,11,0.08979992745467945
B,10,0.07912643720010226
A,12,0.08467350927663118
C,12,0.0699826410050541
B,11,0.033602793996688404
D,11,0.05533061279660312
A,13,0.08086519166931881
C,13,0.06409466341506025
B,12,0.030332945742157186
D,12,0.050108765656307105
C,14,0.05863411564400164
A,14,0.07707909360563062
B,13,0.02737741474587894
D,13,0.04526362717331865
C,15,0.05358713530887273
A,15,0.07352477045875547
D,14,0.04079578072918475
B,14,0.02468930809352996
A,16,0.044320405794477206
C,16,0.026760632500562178
D,15,0.03669397921598903
B,15,0.022238083622648532
A,17,0.041929115127740085
C,17,0.024276043426773624
B,16,0.010520278123594682
D,16,0.01822005298681006
A,18,0.03958172504486536
C,18,0.021993052332209672
B,17,0.009479508219871348
D,17,0.016349396216637464
C,19,0.019899331941738083
A,19,0.03733512897835754
D,18,0.014639425065475189
B,18,0.008524994776685032
C,20,0.01798272020957448
A,20,0.03515302664622373
D,19,0.013082954226796714
B,19,0.007652964836634151
C,21,0.009625909389216586
A,21,0.021388872328750728
C,22,0.008679465138616218
A,22,0.02003714900771313
D,20,0.011671485555106621
B,20,0.006859102820576713
C,23,0.007816309650726916
C,24,0.007030835175262291
B,21,0.0034427954711375654
D,21,0.006224204604363841
D,22,0.005557103919542742
D,23,0.004953623768949411
B,22,0.003088479045309289
D,24,0.004409386437840132
C,30,0.0023390331878014228
A,25,0.016334995182975386
D,30,0.001358117918660938
B,25,0.0022109953586139006
A,24,0.01750545920332865
A,30,0.007478471205100934
B,24,0.0024746700332923
A,23,0.018740393685279244
B,23,0.0027664511889292616
C,25,0.006317510139772581
D,25,0.003919906924164562
B,30,0.000724253216676359
B,29,0.000812529689210809
C,28,0.002906318628486316
B,28,0.0009107219877642157
A,28,0.008679218600522736
B,26,0.0011405447754689797
D,28,0.0017237795708469844
C,26,0.0035987969877721874
A,26,0.010036837604043345
C,27,0.0032356020909032747
D,27,0.0019390080835182634
B,27,0.001019745392042374
A,27,0.00933755473863392
D,26,0.002178549609828115
C,29,0.002608308588064699
A,29,0.008059884142255964
D,29,0.0015308079540687072
